Freq.	V(n003)
1.00000000000000e-03	9.97373450038431e-01,-2.69370538129889e-02
1.12201845430196e-03	9.97210314884633e-01,-3.02193353184844e-02
1.25892541179417e-03	9.97005014795214e-01,-3.39002467686590e-02
1.41253754462275e-03	9.96746675931854e-01,-3.80276591918452e-02
1.58489319246111e-03	9.96421634449741e-01,-4.26549688774152e-02
1.77827941003892e-03	9.96012728939416e-01,-4.78416423516332e-02
1.99526231496888e-03	9.95498418274342e-01,-5.36537754045788e-02
2.23872113856834e-03	9.94851684621788e-01,-6.01646469076216e-02
2.51188643150958e-03	9.94038673787977e-01,-6.74552376647134e-02
2.81838293126445e-03	9.93017017105248e-01,-7.56146697885835e-02
3.16227766016838e-03	9.91733771493116e-01,-8.47405016267609e-02
3.54813389233575e-03	9.90122908537841e-01,-9.49387852702814e-02
3.98107170553497e-03	9.88102281835572e-01,-1.06323756026445e-01
4.46683592150963e-03	9.85570008344107e-01,-1.19016973635204e-01
5.01187233627272e-03	9.82400220205414e-01,-1.33145671426546e-01
5.62341325190348e-03	9.78438187620229e-01,-1.48839991156220e-01
6.30957344480192e-03	9.73494894048722e-01,-1.66228689783005e-01
7.07945784384137e-03	9.67341280092129e-01,-1.85432807386403e-01
7.94328234724280e-03	9.59702584015394e-01,-2.06556700193880e-01
8.91250938133744e-03	9.50253518775439e-01,-2.29675803117711e-01
9.99999999999998e-03	9.38615455671032e-01,-2.54820550520253e-01
1.12201845430196e-02	9.24357330257218e-01,-2.81956142260250e-01
1.25892541179416e-02	9.07002595793771e-01,-3.10958417871636e-01
1.41253754462275e-02	8.86045084243029e-01,-3.41587135991353e-01
1.58489319246111e-02	8.60976822965912e-01,-3.73459557132922e-01
1.77827941003892e-02	8.31330267992728e-01,-4.06029367712718e-01
1.99526231496888e-02	7.96735516058677e-01,-4.38578339271233e-01
2.23872113856833e-02	7.56989402951587e-01,-4.70229907170901e-01
2.51188643150957e-02	7.12128026803640e-01,-4.99993805793345e-01
2.81838293126445e-02	6.62488182006778e-01,-5.26847576842469e-01
3.16227766016837e-02	6.08738738299510e-01,-5.49853423811973e-01
3.54813389233574e-02	5.51863169857351e-01,-5.68298637310123e-01
3.98107170553496e-02	4.93081321812765e-01,-5.81838380862264e-01
4.46683592150962e-02	4.33710971001488e-01,-5.90616528670978e-01
5.01187233627271e-02	3.74982065947827e-01,-5.95348222937481e-01
5.62341325190347e-02	3.17819141846587e-01,-5.97368020103436e-01
6.30957344480191e-02	2.62588225136353e-01,-5.98677334523965e-01
7.07945784384135e-02	2.08744102712512e-01,-6.02061931104336e-01
7.94328234724279e-02	1.54156103297863e-01,-6.11395843411191e-01
8.91250938133742e-02	9.34263890803018e-02,-6.32281824399956e-01
9.99999999999996e-02	1.28965096804161e-02,-6.72867941482634e-01
1.12201845430196e-01	-1.26165364681411e-01,-7.40498202719606e-01
1.25892541179416e-01	-4.37396723472084e-01,-7.85671101294378e-01
1.41253754462275e-01	-9.12214791768491e-01,-3.71284638742517e-01
1.58489319246111e-01	-5.99403155369179e-01,2.36625384021430e-01
1.77827941003892e-01	-2.43782299978927e-01,2.40764316321415e-01
1.99526231496887e-01	-1.07610770079578e-01,1.60832226918987e-01
2.23872113856833e-01	-5.28724650250825e-02,1.04121634242566e-01
2.51188643150957e-01	-2.79670090819669e-02,6.82520016587729e-02
2.81838293126444e-01	-1.55374237462204e-02,4.54635035121033e-02
3.16227766016836e-01	-8.92573832948953e-03,3.06980655869250e-02
3.54813389233574e-01	-5.24943726430954e-03,2.09498391508448e-02
3.98107170553495e-01	-3.14000983897805e-03,1.44146910595566e-02
4.46683592150961e-01	-1.90175157803650e-03,9.98067036220086e-03
5.01187233627270e-01	-1.16256224369609e-03,6.94411492153453e-03
5.62341325190346e-01	-7.15710150539860e-04,4.84954784564491e-03
6.30957344480190e-01	-4.42993490661895e-04,3.39664618585120e-03
7.07945784384134e-01	-2.75334627015220e-04,2.38443934929795e-03
7.94328234724277e-01	-1.71681398923658e-04,1.67685294218191e-03
8.91250938133740e-01	-1.07318904260171e-04,1.18089259796933e-03
9.99999999999994e-01	-6.72175577069653e-05,8.32536537353724e-04
1.12201845430196e+00	-4.21656954521403e-05,5.87452379792280e-04
1.25892541179416e+00	-2.64827509768816e-05,4.14800523448038e-04
1.41253754462275e+00	-1.66487901647577e-05,2.93049464253473e-04
1.58489319246110e+00	-1.04744342353011e-05,2.07123099770246e-04
1.77827941003891e+00	-6.59383452513161e-06,1.46441247300729e-04
1.99526231496887e+00	-4.15289490362708e-06,1.03565476570992e-04
2.23872113856833e+00	-2.61653491900868e-06,7.32586857968009e-05
2.51188643150956e+00	-1.64903952028318e-06,5.18294528861869e-05
2.81838293126444e+00	-1.03953189708559e-06,3.66734989633990e-05
3.16227766016836e+00	-6.55429007541755e-07,2.59522056094512e-05
3.54813389233573e+00	-4.13311821931257e-07,1.83667735628525e-05
3.98107170553495e+00	-2.60663996446649e-07,1.29993184396671e-05
4.46683592150960e+00	-1.64408699518822e-07,9.20092323253318e-06
5.01187233627269e+00	-1.03705241719737e-07,6.51269267067751e-06
5.62341325190345e+00	-6.54187382314990e-08,4.61003620119898e-06
6.30957344480189e+00	-4.12689956115281e-08,3.26331998409010e-06
7.07945784384133e+00	-2.60352492650413e-08,2.31006487542163e-06
7.94328234724276e+00	-1.64252644393295e-08,1.63529456297922e-06
8.91250938133739e+00	-1.03627055382175e-08,1.15764021902738e-06
9.99999999999992e+00	-6.53795627820109e-09,8.19512959243881e-07
1.12201845430195e+01	-4.12493655728129e-09,5.80151877470743e-07
1.25892541179416e+01	-2.60254126104012e-09,4.10705466704029e-07
1.41253754462274e+01	-1.64203350983552e-09,2.90751238020045e-07
1.58489319246110e+01	-1.03602352800465e-09,2.05832758587801e-07
1.77827941003891e+01	-6.53671832166447e-10,1.45716547312088e-07
1.99526231496886e+01	-4.12431615119424e-10,1.03158354597280e-07
2.23872113856832e+01	-2.60223033811873e-10,7.30299257471597e-08
2.51188643150956e+01	-1.64187768588025e-10,5.17008926268389e-08
2.81838293126443e+01	-1.03594543367229e-10,3.66012403545415e-08
3.16227766016835e+01	-6.53632693336877e-11,2.59115877389918e-08
3.54813389233572e+01	-4.12411999656829e-11,1.83439396575751e-08
3.98107170553494e+01	-2.60213202959290e-11,1.29864812066989e-08
4.46683592150959e+01	-1.64182841556639e-11,9.19370576180354e-09
5.01187233627268e+01	-1.03592074028442e-11,6.50863462983213e-09
5.62341325190344e+01	-6.53620317431390e-12,4.60775448348961e-09
6.30957344480188e+01	-4.12405797052903e-12,3.26203700781940e-09
7.07945784384131e+01	-2.60210094310071e-12,2.30934346196401e-09
7.94328234724274e+01	-1.64181283547978e-12,1.63488890789072e-09
8.91250938133737e+01	-1.03591293177035e-12,1.15741211380185e-09
1.00000000000000e+02	-6.53616403914331e-13,8.19384691338448e-10
