Freq.	V(n003)
1.00000000000000e+02	9.99997500007334e-01,-9.99996541679173e-04
1.12201845430196e+02	9.99997370545491e-01,-1.12201453768801e-03
1.25892541179417e+02	9.99997207562687e-01,-1.25892096598591e-03
1.41253754462275e+02	9.99997002379494e-01,-1.41253248388758e-03
1.58489319246111e+02	9.99996744069158e-01,-1.58488741187564e-03
1.77827941003892e+02	9.99996418875710e-01,-1.77827277954607e-03
1.99526231496888e+02	9.99996009481416e-01,-1.99525467122401e-03
2.23872113856834e+02	9.99995494084537e-01,-2.23871227369191e-03
2.51188643150958e+02	9.99994845238309e-01,-2.51187607750306e-03
2.81838293126445e+02	9.99994028389304e-01,-2.81837073833741e-03
3.16227766016838e+02	9.99993000037333e-01,-3.16226316650645e-03
3.54813389233575e+02	9.99991705418906e-01,-3.54811648182503e-03
3.98107170553497e+02	9.99990075590867e-01,-3.98105054852669e-03
4.46683592150963e+02	9.99988023758933e-01,-4.46680989168731e-03
5.01187233627272e+02	9.99985440655571e-01,-5.01183989382880e-03
5.62341325190348e+02	9.99982188721105e-01,-5.62337227920081e-03
6.30957344480193e+02	9.99978094778172e-01,-6.30952101500111e-03
7.07945784384137e+02	9.99972940809374e-01,-7.07938989493269e-03
7.94328234724280e+02	9.99966452347084e-01,-7.94319322256312e-03
8.91250938133744e+02	9.99958283857021e-01,-8.91239118160866e-03
9.99999999999999e+02	9.99948000337301e-01,-9.99984166926641e-03
1.12201845430196e+03	9.99935054152996e-01,-1.12199705788544e-02
1.25892541179417e+03	9.99918755872572e-01,-1.25889627510849e-02
1.41253754462275e+03	9.99898237553152e-01,-1.41249760709613e-02
1.58489319246111e+03	9.99872406519373e-01,-1.58483814709812e-02
1.77827941003892e+03	9.99839887174435e-01,-1.77820319119785e-02
1.99526231496888e+03	9.99798947744518e-01,-1.99515637506871e-02
2.23872113856833e+03	9.99747408055460e-01,-2.23857342668034e-02
2.51188643150957e+03	9.99682523430422e-01,-2.51167995088247e-02
2.81838293126445e+03	9.99600838525613e-01,-2.81809370211391e-02
3.16227766016837e+03	9.99498003320202e-01,-3.16187184242081e-02
3.54813389233575e+03	9.99368541460970e-01,-3.54756372182027e-02
3.98107170553496e+03	9.99205558624802e-01,-3.98026975417390e-02
4.46683592150962e+03	9.99000375367402e-01,-4.46570699014210e-02
5.01187233627271e+03	9.98742064904376e-01,-5.01028200352546e-02
5.62341325190348e+03	9.98416871206482e-01,-5.62117169962343e-02
6.30957344480191e+03	9.98007476413754e-01,-6.30641261141866e-02
7.07945784384136e+03	9.97492078542256e-01,-7.07499915300644e-02
7.94328234724279e+03	9.96843230341349e-01,-7.93699112320189e-02
8.91250938133743e+03	9.96026377413453e-01,-8.90363045759654e-02
9.99999999999997e+03	9.94998017640658e-01,-9.98746675996220e-02
1.12201845430196e+04	9.93703383692247e-01,-1.12024904257616e-01
1.25892541179416e+04	9.92073524784515e-01,-1.25642710898461e-01
1.41253754462275e+04	9.90021631467595e-01,-1.40900975267556e-01
1.58489319246111e+04	9.87438406105323e-01,-1.57991127739850e-01
1.77827941003892e+04	9.84186229329582e-01,-1.77124347996970e-01
1.99526231496887e+04	9.80091805576442e-01,-1.98532480013125e-01
2.23872113856833e+04	9.74936883885452e-01,-2.22468434571626e-01
2.51188643150957e+04	9.68446536223363e-01,-2.49205750158899e-01
2.81838293126444e+04	9.60274323775894e-01,-2.79036821744847e-01
3.16227766016837e+04	9.49983475150693e-01,-3.12269062371244e-01
3.54813389233574e+04	9.37022913287942e-01,-3.49217881954291e-01
3.98107170553496e+04	9.20696560970495e-01,-3.90194755384470e-01
4.46683592150961e+04	9.00123774244745e-01,-4.35487626356989e-01
5.01187233627270e+04	8.74187942285201e-01,-4.85329100608403e-01
5.62341325190347e+04	8.41469255500634e-01,-5.39844622109980e-01
6.30957344480191e+04	8.00156671238701e-01,-5.98966714472509e-01
7.07945784384135e+04	7.47934472916426e-01,-6.62289743296943e-01
7.94328234724278e+04	6.81844784660505e-01,-7.28817739135199e-01
8.91250938133742e+04	5.98151566888491e-01,-7.96518560197011e-01
9.99999999999995e+04	4.92307793291998e-01,-8.61536997240043e-01
1.12201845430196e+05	3.59335018403259e-01,-9.16865741517437e-01
1.25892541179416e+05	1.95399275081840e-01,-9.50397706842638e-01
1.41253754462275e+05	2.10788992446204e-03,-9.43177413270783e-01
1.58489319246111e+05	-2.05141341394115e-01,-8.71452350896567e-01
1.77827941003891e+05	-3.88953623508888e-01,-7.19729454718994e-01
1.99526231496887e+05	-4.98791011544251e-01,-5.04741459602030e-01
2.23872113856833e+05	-5.07549099622992e-01,-2.81825993939892e-01
2.51188643150957e+05	-4.37535356679560e-01,-1.07774522605154e-01
2.81838293126444e+05	-3.36498794178302e-01,-2.26284997801179e-03
3.16227766016836e+05	-2.40601292404047e-01,4.75528234621216e-02
3.54813389233574e+05	-1.64552095640297e-01,6.32585354442342e-02
3.98107170553495e+05	-1.09556941298893e-01,6.17978487357373e-02
4.46683592150961e+05	-7.17451802074267e-02,5.33417563481228e-02
5.01187233627269e+05	-4.64907286868578e-02,4.31334430433465e-02
5.62341325190346e+05	-2.99156092946826e-02,3.35384033306483e-02
