time	V(n003)
0.000000000000000e+00	0.000000e+00
3.843687509984609e-09	1.756435e-09
1.153106252995383e-08	1.033506e-08
1.618631537050191e-08	2.310590e-08
2.085238508188654e-08	5.017920e-08
2.590264579866927e-08	1.053500e-07
3.185541126130183e-08	2.235094e-07
3.890480084639027e-08	4.746874e-07
4.742373210147102e-08	1.016832e-06
5.765757074430514e-08	2.178159e-06
7.006586668907404e-08	4.685358e-06
8.505088711172754e-08	9.856525e-06
1.000000000000566e-07	1.725539e-05
1.054566837743742e-07	2.125931e-05
1.127322621400587e-07	2.810764e-05
1.272834188716446e-07	4.767115e-05
1.563857323348163e-07	1.092926e-04
1.909539234102708e-07	2.342348e-04
2.406888803070575e-07	5.442916e-04
3.016076209727114e-07	1.202850e-03
3.873198771440003e-07	2.798719e-03
4.981369251474705e-07	6.352689e-03
6.540745509369273e-07	1.481256e-02
8.540745509368237e-07	3.194877e-02
1.054074550936720e-06	5.704609e-02
1.254074550936617e-06	9.106177e-02
1.454074550936513e-06	1.339761e-01
1.654074550936410e-06	1.851999e-01
1.854074550936306e-06	2.436456e-01
2.054074550936202e-06	3.078184e-01
2.254074550936099e-06	3.759218e-01
2.454074550935995e-06	4.459704e-01
2.654074550935892e-06	5.159050e-01
2.854074550935788e-06	5.837050e-01
3.054074550935685e-06	6.474900e-01
3.254074550935581e-06	7.056097e-01
3.454074550935477e-06	7.567159e-01
3.654074550935374e-06	7.998148e-01
3.854074550935270e-06	8.342996e-01
4.054074550935167e-06	8.599604e-01
4.254074550935063e-06	8.769749e-01
4.454074550934960e-06	8.858797e-01
4.654074550934856e-06	8.875257e-01
4.854074550934753e-06	8.830206e-01
5.054074550934649e-06	8.736619e-01
5.254074550934545e-06	8.608646e-01
5.454074550934442e-06	8.460872e-01
5.654074550934338e-06	8.307595e-01
5.854074550934235e-06	8.162168e-01
6.054074550934131e-06	8.036422e-01
6.254074550934028e-06	7.940191e-01
6.454074550933924e-06	7.880973e-01
6.654074550933821e-06	7.863717e-01
6.854074550933717e-06	7.890754e-01
7.054074550933613e-06	7.961851e-01
7.254074550933510e-06	8.074395e-01
7.454074550933406e-06	8.223678e-01
7.654074550933303e-06	8.403267e-01
7.854074550933199e-06	8.605436e-01
8.054074550933096e-06	8.821639e-01
8.254074550932992e-06	9.042984e-01
8.454074550932889e-06	9.260705e-01
8.654074550932785e-06	9.466594e-01
8.854074550932681e-06	9.653382e-01
9.054074550932578e-06	9.815044e-01
9.254074550932474e-06	9.947032e-01
9.454074550932371e-06	1.004641e+00
