Freq.	V(n004)
1.00000000000000e+02	-1.30172146254343e-07,5.17938828397488e-10
1.12201845430196e+02	-1.63877044532581e-07,5.81137110559372e-10
1.25892541179417e+02	-2.06309010172212e-07,6.52046838581028e-10
1.41253754462275e+02	-2.59727710108882e-07,7.31608997327789e-10
1.58489319246111e+02	-3.26977900813096e-07,8.20879415527973e-10
1.77827941003892e+02	-4.11640925379166e-07,9.21042795393710e-10
1.99526231496888e+02	-5.18225438546049e-07,1.03342846536437e-09
2.23872113856834e+02	-6.52407517627480e-07,1.15952807430818e-09
2.51188643150958e+02	-8.21332947995561e-07,1.30101547817174e-09
2.81838293126445e+02	-1.03399778387247e-06,1.45976911127136e-09
3.16227766016838e+02	-1.30172745535614e-06,1.63789718872284e-09
3.54813389233575e+02	-1.63877994328709e-06,1.83776616172227e-09
3.98107170553497e+02	-2.06310515496272e-06,2.06203295709456e-09
4.46683592150963e+02	-2.59730095884031e-06,2.31368170049378e-09
5.01187233627272e+02	-3.26981682006485e-06,2.59606589071853e-09
5.62341325190348e+02	-4.11646918156050e-06,2.91295743470853e-09
6.30957344480193e+02	-5.18234936435832e-06,3.26860469975730e-09
7.07945784384137e+02	-6.52422570725432e-06,3.66780302326672e-09
7.94328234724280e+02	-8.21356805462417e-06,4.11598335259346e-09
8.91250938133744e+02	-1.03403559523846e-05,4.61932859910437e-09
9.99999999999999e+02	-1.30178738199186e-05,5.18493417988952e-09
1.12201845430196e+03	-1.63887491992403e-05,5.82104139499376e-09
1.25892541179417e+03	-2.06325568143115e-05,6.53739384843731e-09
1.41253754462275e+03	-2.59753952450801e-05,7.34580535755246e-09
1.58489319246111e+03	-3.27019491576551e-05,8.26109566707494e-09
1.77827941003892e+03	-4.11706841208396e-05,9.30267083342033e-09
1.99526231496888e+03	-5.18329905922912e-05,1.04972393384129e-08
2.23872113856833e+03	-6.52573082927785e-05,1.18835356740185e-08
2.51188643150957e+03	-8.21595342664982e-05,1.35205998350081e-08
2.81838293126445e+03	-1.03441363414228e-04,1.55023641800439e-08
3.16227766016837e+03	-1.30238649918714e-04,1.79834380160140e-08
3.54813389233575e+03	-1.63982438866637e-04,2.12247832761364e-08
3.98107170553496e+03	-2.06476035224643e-04,2.56747367897059e-08
4.46683592150962e+03	-2.59992399619794e-04,3.21128586748290e-08
5.01187233627271e+03	-3.27397350825478e-04,4.19054672520613e-08
5.62341325190348e+03	-4.12305599909079e-04,5.74597403799819e-08
6.30957344480191e+03	-5.19278659284100e-04,8.30308701626799e-08
7.07945784384136e+03	-6.54076326142660e-04,1.26156979110062e-07
7.94328234724279e+03	-8.23976965345626e-04,2.00210288327845e-07
8.91250938133743e+03	-1.03818654067102e-03,3.28933187468481e-07
9.99999999999997e+03	-1.30836273758597e-03,5.54503877527582e-07
1.12201845430196e+04	-1.64928926969370e-03,9.51878402655080e-07
1.25892541179416e+04	-2.07974756351181e-03,1.65429362723970e-06
1.41253754462275e+04	-2.62364993733490e-03,2.89861721175813e-06
1.58489319246111e+04	-3.31152228300097e-03,5.10599079492455e-06
1.77827941003892e+04	-4.18245828422574e-03,9.02523415690133e-06
1.99526231496887e+04	-5.28671596833458e-03,1.59878562034612e-05
2.23872113856833e+04	-6.68919751614531e-03,2.83615356028711e-05
2.51188643150957e+04	-8.47415405311437e-03,5.03565399576309e-05
2.81838293126444e+04	-1.07516011355077e-02,8.94597736495564e-05
3.16227766016837e+04	-1.36661333607274e-02,1.58984910269141e-04
3.54813389233574e+04	-1.74091039466124e-02,2.82607074683616e-04
3.98107170553496e+04	-2.22354947329286e-02,5.02425705087034e-04
4.46683592150961e+04	-2.84872179543608e-02,8.93297304148410e-04
5.01187233627270e+04	-3.66249401099653e-02,1.58829999306158e-03
5.62341325190347e+04	-4.72704220050565e-02,2.82392192977745e-03
6.30957344480191e+04	-6.12598117813513e-02,5.02004636570095e-03
7.07945784384135e+04	-7.97027427275906e-02,8.92076261788597e-03
7.94328234724278e+04	-1.04026229730776e-01,1.58394377852034e-02
8.91250938133742e+04	-1.35941657457151e-01,2.80749867574767e-02
9.99999999999995e+04	-1.77176266742158e-01,4.95821815510852e-02
1.12201845430196e+05	-2.28603057580205e-01,8.69220706399106e-02
1.25892541179416e+05	-2.88054376601384e-01,1.50169304585527e-01
1.41253754462275e+05	-3.45928227652979e-01,2.52290751920765e-01
1.58489319246111e+05	-3.79369077608210e-01,4.03199024994288e-01
1.77827941003891e+05	-3.52614779901498e-01,5.94690907084118e-01
1.99526231496887e+05	-2.37648557958957e-01,7.86225009148166e-01
2.23872113856833e+05	-4.66123721118002e-02,9.21373932012657e-01
2.51188643150957e+05	1.70672009203399e-01,9.71685724973986e-01
2.81838293126444e+05	3.67626372715243e-01,9.50733804867610e-01
3.16227766016836e+05	5.24758186776825e-01,8.88780716810578e-01
