Freq.	V(n002)
1.00000000000000e+03	-1.17427978663448e-08,-6.77740576981680e-07
1.12201845430196e+03	-1.85594874012021e-08,-9.57307023562616e-07
1.25892541179417e+03	-2.93499083602121e-08,-1.35218412118164e-06
1.41253754462275e+03	-4.64348790778150e-08,-1.90992549263917e-06
1.58489319246111e+03	-7.34918252569435e-08,-2.69768968701432e-06
1.77827941003892e+03	-1.16348091195206e-07,-3.81031803698891e-06
1.99526231496888e+03	-1.84238265865025e-07,-5.38173721664262e-06
2.23872113856834e+03	-2.91796979641799e-07,-7.60105204908257e-06
2.51188643150958e+03	-4.62217467874598e-07,-1.07352527642154e-05
2.81838293126445e+03	-7.32258012803313e-07,-1.51612463620859e-05
3.16227766016838e+03	-1.16017761636691e-06,-2.14110246998331e-05
3.54813389233575e+03	-1.83831529187621e-06,-3.02353282685304e-05
3.98107170553497e+03	-2.91303121642411e-06,-4.26933281571475e-05
4.46683592150963e+03	-4.61632010272651e-06,-6.02788677322223e-05
5.01187233627272e+03	-7.31593270192625e-06,-8.50980038596782e-05
5.62341325190348e+03	-1.15948484819364e-05,-1.20118399279191e-04
6.30957344480192e+03	-1.83773021229845e-05,-1.69519114739924e-04
7.07945784384137e+03	-2.91286629851838e-05,-2.39180264105924e-04
7.94328234724280e+03	-4.61725025442762e-05,-3.37366725956801e-04
8.91250938133744e+03	-7.31936664838309e-05,-4.75679671212990e-04
9.99999999999999e+03	-1.16036683785451e-04,-6.70375052700869e-04
1.12201845430196e+04	-1.83973309408539e-04,-9.44179957551478e-04
1.25892541179417e+04	-2.91715646302433e-04,-1.32877504971555e-03
1.41253754462275e+04	-4.62614881323504e-04,-1.86815013827251e-03
1.58489319246111e+04	-7.33746580861058e-04,-2.62306875890304e-03
1.77827941003892e+04	-1.16399984353443e-03,-3.67686940427679e-03
1.99526231496888e+04	-1.84695189522996e-03,-5.14272562598557e-03
2.23872113856833e+04	-2.93136776068603e-03,-7.17215605203438e-03
2.51188643150957e+04	-4.65384140360543e-03,-9.96374661221664e-03
2.81838293126445e+04	-7.39072020833813e-03,-1.37691472843063e-02
3.16227766016837e+04	-1.17404546321816e-02,-1.88892172785325e-02
3.54813389233575e+04	-1.86532284996126e-02,-2.56441138553570e-02
3.98107170553496e+04	-2.96315639267440e-02,-3.42815735247022e-02
4.46683592150962e+04	-4.70288959114910e-02,-4.47458406325188e-02
5.01187233627271e+04	-7.44533334888613e-02,-5.61423279587498e-02
