time	V(n002)
0.000000000000000e+00	0.000000e+00
3.843687509984609e-09	7.883239e-07
1.153106252995383e-08	4.616975e-06
1.618729406202210e-08	1.027852e-05
2.085300163903910e-08	2.217899e-05
2.590395447124062e-08	4.616894e-05
3.185803755328086e-08	9.683640e-05
3.891270529063351e-08	2.027086e-04
4.744401510309477e-08	4.264447e-04
5.770631221653499e-08	8.933627e-04
7.014101253760216e-08	1.818262e-03
8.142303539976185e-08	3.170238e-03
9.643189612280889e-08	5.674264e-03
1.000000000000566e-07	6.419196e-03
1.015829464972445e-07	6.804391e-03
1.047488394914035e-07	7.649444e-03
1.110806254797213e-07	9.606024e-03
1.237441974565739e-07	1.465973e-02
1.468742307907545e-07	2.721104e-02
1.714155187825580e-07	4.588401e-02
2.061274123712261e-07	8.211686e-02
2.462470259229077e-07	1.369405e-01
3.032920696019025e-07	2.323075e-01
3.796425834486951e-07	3.695471e-01
4.853412432612343e-07	5.374227e-01
5.938707966660160e-07	6.384306e-01
7.352719326838078e-07	6.389410e-01
8.966620049933715e-07	5.122524e-01
1.049887255856821e-06	3.331318e-01
1.172786750053582e-06	1.947418e-01
1.302553895433760e-06	8.233608e-02
1.439475980251955e-06	-1.965059e-03
1.536540047147959e-06	-4.567051e-02
1.642263743288977e-06	-8.494508e-02
1.767139912490405e-06	-1.286189e-01
1.960670216742634e-06	-1.928681e-01
2.159815655741575e-06	-2.496593e-01
2.359815655741471e-06	-2.904466e-01
2.559815655741367e-06	-3.132965e-01
2.759815655741264e-06	-3.217639e-01
2.959815655741160e-06	-3.203622e-01
3.159815655741057e-06	-3.116773e-01
3.359815655740953e-06	-2.966028e-01
3.559815655740850e-06	-2.757811e-01
3.759815655740746e-06	-2.503514e-01
3.959815655740643e-06	-2.217449e-01
4.159815655740539e-06	-1.912298e-01
4.359815655740435e-06	-1.597416e-01
4.559815655740332e-06	-1.279923e-01
4.759815655740228e-06	-9.661722e-02
4.959815655740125e-06	-6.621531e-02
5.159815655740021e-06	-3.731268e-02
5.359815655739918e-06	-1.032676e-02
5.559815655739814e-06	1.443262e-02
5.759815655739711e-06	3.674117e-02
5.959815655739607e-06	5.644209e-02
6.159815655739503e-06	7.343955e-02
6.359815655739400e-06	8.769734e-02
6.559815655739296e-06	9.923507e-02
6.759815655739193e-06	1.081207e-01
6.959815655739089e-06	1.144622e-01
7.159815655738986e-06	1.184000e-01
7.359815655738882e-06	1.201016e-01
7.559815655738778e-06	1.197557e-01
7.759815655738675e-06	1.175669e-01
7.959815655738571e-06	1.137502e-01
8.159815655738468e-06	1.085266e-01
8.359815655738364e-06	1.021179e-01
8.559815655738261e-06	9.474333e-02
8.759815655738157e-06	8.661617e-02
8.959815655738054e-06	7.794072e-02
9.159815655737950e-06	6.890976e-02
9.359815655737846e-06	5.970261e-02
9.559815655737743e-06	5.048349e-02
9.759815655737639e-06	4.140039e-02
9.959815655737536e-06	3.258425e-02
1.015981565573743e-05	2.414859e-02
1.035981565573733e-05	1.618942e-02
1.055981565573723e-05	8.785412e-03
1.075981565573712e-05	1.998433e-03
1.095981565573702e-05	-4.125796e-03
1.115981565573691e-05	-9.556791e-03
1.135981565573681e-05	-1.427826e-02
1.155981565573671e-05	-1.828692e-02
1.175981565573660e-05	-2.159126e-02
1.195981565573650e-05	-2.421016e-02
1.215981565573640e-05	-2.617160e-02
1.235981565573629e-05	-2.751123e-02
1.255981565573619e-05	-2.827105e-02
1.275981565573609e-05	-2.849809e-02
1.295981565573598e-05	-2.824312e-02
1.315981565573588e-05	-2.755949e-02
1.335981565573578e-05	-2.650198e-02
1.355981565573567e-05	-2.512579e-02
1.375981565573557e-05	-2.348561e-02
1.395981565573546e-05	-2.163478e-02
1.415981565573536e-05	-1.962460e-02
1.435981565573526e-05	-1.750368e-02
1.455981565573515e-05	-1.531746e-02
1.475981565573505e-05	-1.310778e-02
1.495981565573495e-05	-1.091259e-02
1.515981565573484e-05	-8.765746e-03
1.535981565573474e-05	-6.696855e-03
1.555981565573464e-05	-4.731255e-03
1.575981565573453e-05	-2.890036e-03
1.595981565573443e-05	-1.190132e-03
1.615981565573433e-05	3.555221e-04
1.635981565573422e-05	1.737794e-03
1.655981565573412e-05	2.951112e-03
1.675981565573401e-05	3.993190e-03
1.695981565573391e-05	4.864733e-03
1.715981565573381e-05	5.569115e-03
1.735981565573370e-05	6.112058e-03
1.755981565573360e-05	6.501293e-03
1.775981565573350e-05	6.746240e-03
1.795981565573339e-05	6.857677e-03
1.815981565573329e-05	6.847430e-03
1.835981565573319e-05	6.728078e-03
1.855981565573308e-05	6.512670e-03
1.875981565573298e-05	6.214471e-03
1.895981565573288e-05	5.846723e-03
1.915981565573277e-05	5.422437e-03
1.935981565573267e-05	4.954205e-03
1.955981565573256e-05	4.454044e-03
1.975981565573246e-05	3.933256e-03
1.995981565573236e-05	3.402323e-03
2.015981565573225e-05	2.870821e-03
2.035981565573215e-05	2.347358e-03
2.055981565573205e-05	1.839536e-03
2.075981565573194e-05	1.353927e-03
2.095981565573184e-05	8.960768e-04
2.115981565573174e-05	4.705199e-04
2.135981565573163e-05	8.080725e-05
2.155981565573153e-05	-2.704486e-04
2.175981565573143e-05	-5.815202e-04
2.195981565573132e-05	-8.515029e-04
2.215981565573122e-05	-1.080245e-03
2.235981565573112e-05	-1.268274e-03
2.255981565573101e-05	-1.416719e-03
2.275981565573091e-05	-1.527230e-03
2.295981565573080e-05	-1.601898e-03
2.315981565573070e-05	-1.643180e-03
2.335981565573060e-05	-1.653816e-03
2.355981565573049e-05	-1.636763e-03
2.375981565573039e-05	-1.595119e-03
2.395981565573029e-05	-1.532063e-03
2.415981565573018e-05	-1.450794e-03
2.435981565573008e-05	-1.354476e-03
2.455981565572998e-05	-1.246196e-03
2.475981565572987e-05	-1.128914e-03
2.495981565572977e-05	-1.005436e-03
2.515981565572967e-05	-8.783799e-04
2.535981565572956e-05	-7.501554e-04
2.555981565572946e-05	-6.229441e-04
2.575981565572935e-05	-4.986891e-04
2.595981565572925e-05	-3.790877e-04
2.615981565572915e-05	-2.655891e-04
2.635981565572904e-05	-1.593966e-04
2.655981565572894e-05	-6.147313e-05
2.675981565572884e-05	2.744955e-05
2.695981565572873e-05	1.068592e-04
2.715981565572863e-05	1.764488e-04
2.735981565572853e-05	2.361007e-04
2.755981565572842e-05	2.858691e-04
2.775981565572832e-05	3.259616e-04
2.795981565572822e-05	3.567204e-04
2.815981565572811e-05	3.786028e-04
2.835981565572801e-05	3.921624e-04
2.855981565572790e-05	3.980300e-04
2.875981565572780e-05	3.968960e-04
2.895981565572770e-05	3.894928e-04
2.915981565572759e-05	3.765792e-04
2.935981565572749e-05	3.589250e-04
2.955981565572739e-05	3.372978e-04
2.975981565572728e-05	3.124509e-04
2.995981565572718e-05	2.851123e-04
3.015981565572708e-05	2.559762e-04
3.035981565572697e-05	2.256945e-04
3.055981565572687e-05	1.948714e-04
3.075981565572677e-05	1.640577e-04
3.095981565572666e-05	1.337484e-04
3.115981565572656e-05	1.043795e-04
3.135981565572645e-05	7.632752e-05
3.155981565572635e-05	4.990940e-05
3.175981565572625e-05	2.538346e-05
3.195981565572614e-05	2.951186e-06
3.215981565572604e-05	-1.724013e-05
3.235981565572594e-05	-3.509428e-05
3.255981565572583e-05	-5.056248e-05
3.275981565572573e-05	-6.363929e-05
3.315981565572552e-05	-8.278765e-05
3.355981565572532e-05	-9.319442e-05
3.395981565572511e-05	-9.591939e-05
3.435981565572490e-05	-9.228422e-05
3.495981565572459e-05	-7.809097e-05
3.555981565572428e-05	-5.773622e-05
3.615981565572397e-05	-3.554652e-05
3.675981565572366e-05	-1.489155e-05
3.735981565572335e-05	1.986670e-06
3.795981565572304e-05	1.395206e-05
3.855981565572273e-05	2.081593e-05
3.893124422715111e-05	2.203158e-05
3.930267279857949e-05	2.238220e-05
3.967410137000787e-05	2.186777e-05
4.004552994143625e-05	2.048830e-05
4.041695851286462e-05	1.824380e-05
4.078838708429300e-05	1.513425e-05
4.115981565572138e-05	1.115967e-05
4.175981565572107e-05	5.738231e-06
4.235981565572076e-05	1.362376e-06
4.295981565572045e-05	-1.967898e-06
4.355981565572014e-05	-4.252593e-06
4.415981565571983e-05	-5.491707e-06
4.475981565571952e-05	-5.685242e-06
4.535981565571921e-05	-4.833196e-06
4.598838708429031e-05	-3.362426e-06
4.661695851286141e-05	-2.087928e-06
4.724552994143252e-05	-1.009704e-06
4.787410137000362e-05	-1.277514e-07
4.850267279857472e-05	5.579282e-07
4.913124422714583e-05	1.047335e-06
4.975981565571693e-05	1.340470e-06
4.995981565571682e-05	1.337148e-06
4.999999999999991e-05	1.334005e-06
